ticker,sector,volatility,avg_return,sharpe_ratio,max_drawdown,total_trading_days
ADANIENT,Materials,0.45401923992698484,0.045931683802030776,0.10116682237831483,-0.4009601536245797,284
BPCL,Energy,0.3871945379343196,0.5567722914303124,1.43796525230105,-0.23665360183808629,270
ADANIPORTS,Services,0.3767266545133675,0.3526675720262791,0.9361365005665275,-0.2851303336163258,281
TRENT,Consumer Services,0.3709201691186727,1.3494867479597548,3.6382134494498146,-0.10589141976365815,226
BEL,Services,0.3580784153065935,0.8006414717026669,2.235938938171245,-0.20312965722801793,241
SHRIRAMFIN,Financial Services,0.3442651279253105,0.40984081942903433,1.1904802031472403,-0.22771431327426325,284
ONGC,Energy,0.32958299386177975,0.321054529193591,0.9741234686648748,-0.2914411119239214,271
COALINDIA,Energy,0.3232502537446545,0.36602451525462637,1.13232553111547,-0.24870466321243495,282
HINDALCO,Materials,0.312882007655369,0.3236732638353097,1.0344898585278415,-0.183387358184765,283
TATASTEEL,Materials,0.30510119161871674,0.17067183687458867,0.5593941995738788,-0.24662844662844702,174
